﻿﻿﻿﻿﻿ Distance (X)            Angle (Y) ﻿
﻿﻿﻿﻿﻿﻿ 4.456752502470865    25.594595318654243 ﻿
﻿﻿﻿﻿﻿﻿ 3.426663334945282    31.22071145930714 ﻿
﻿﻿﻿﻿﻿﻿ 2.450362494883684    41.754149722643106 ﻿
﻿﻿﻿﻿﻿﻿ 3.9087650144426793    26.987813353484697 ﻿
﻿﻿﻿﻿﻿﻿ 4.503068554217437    25.58572131843239 ﻿
﻿﻿﻿﻿﻿﻿ 5.988067344445319    20.314565186653496
 4.052996660652173    28.180934383312703 ﻿
﻿﻿﻿﻿﻿﻿ 4.041391295983975    27.706607371454552 ﻿
﻿﻿﻿﻿﻿﻿ 4.4745150846204425    25.23963530978024 ﻿
﻿﻿﻿﻿﻿﻿ 4.467783756009873    25.594595318654243 ﻿
﻿﻿﻿﻿﻿﻿ 4.462004828160049    25.612343319097945 ﻿
﻿﻿﻿﻿﻿﻿ 4.475542807823574    25.58572131843239 ﻿
﻿﻿﻿﻿﻿﻿ 4.45841264372458    25.58572131843239 ﻿
﻿﻿﻿﻿﻿﻿ 4.448042726995487    25.603469318876094 ﻿
﻿﻿﻿﻿﻿﻿ 4.44672585779613    25.612343319097945 ﻿
